Test Program: 	
Tester: 	
Device Name: 	
Operator: 	IT
LOT ID: 	
Start Time: 	
Fail #: 	588
Pass #: 	8033
Total #: 	8621

Name	Site#	Bin#	X	Y	VBR	VF1	VF2	IR_40V	VF3	
Unit	N	N	N	N	V	mV	mV	uA	mV	
348	1	1	8	51	64.80	211.87	275.28	28.30	397.48	
349	1	1	8	52	65.68	211.55	274.80	23.83	397.56	
350	1	5	8	53	0.02	163.22	271.07	1016.03	396.94	
351	1	1	8	54	65.54	211.22	275.45	23.88	397.65	
352	1	1	8	55	65.36	211.87	274.63	24.20	396.97	
353	1	1	8	56	65.46	211.55	275.77	23.98	397.13	
354	1	1	8	57	65.44	212.04	274.31	23.96	397.54	
355	1	1	8	58	65.43	211.55	275.28	24.01	397.43	
356	1	1	8	59	65.47	212.04	275.28	24.06	397.28	
357	1	1	8	60	65.50	211.22	275.12	24.00	397.48	
358	1	1	8	61	65.55	211.87	274.63	24.24	397.39	
359	1	1	8	62	65.68	212.36	274.80	23.87	397.33	
360	1	1	8	63	65.49	211.55	274.80	25.93	397.43	
361	1	1	8	64	66.01	212.36	275.12	23.47	397.67	
362	1	1	8	65	66.13	211.55	275.45	23.17	397.49	
363	1	1	8	66	66.25	211.87	275.77	23.03	398.08	
364	1	1	8	67	66.26	212.04	275.77	23.00	398.17	
365	1	1	8	68	66.38	211.71	274.63	22.91	397.70	
366	1	1	8	69	66.41	212.85	274.80	22.91	397.64	
367	1	1	8	70	66.44	212.36	274.63	22.90	397.35	
368	1	1	8	71	66.43	212.04	274.80	22.97	397.20	
369	1	1	8	72	66.43	212.04	275.28	23.05	397.04	
370	1	1	8	73	66.42	212.20	275.12	23.01	397.35	
371	1	1	8	74	66.42	212.04	274.80	23.14	398.12	
372	1	1	8	75	66.38	212.04	275.28	23.03	398.35	
373	1	1	8	76	66.18	212.20	274.80	23.30	398.58	
374	1	1	8	77	66.20	211.87	274.96	23.09	399.02	
375	1	1	8	78	66.38	212.20	275.93	22.95	400.17	
376	1	1	8	79	64.61	211.06	275.28	29.68	401.50	
377	1	1	8	80	66.18	212.85	275.45	23.15	403.04	
378	1	1	8	81	63.35	212.04	275.12	32.62	404.15	
379	1	5	9	22	8.82	211.87	279.01	1016.22	422.20	
380	1	1	9	23	72.40	208.63	272.53	21.83	401.45	
381	1	1	9	24	63.63	210.90	274.96	63.79	401.97	
382	1	1	9	25	61.36	211.55	274.96	87.49	401.06	
383	1	1	9	26	71.08	211.55	274.63	20.68	400.12	
384	1	8	9	27	63.68	210.58	274.96	198.75	399.72	
385	1	1	9	28	69.58	210.74	274.31	21.31	399.65	
386	1	1	9	29	69.10	211.71	274.63	21.57	399.49	
387	1	1	9	30	60.43	211.39	274.63	87.30	399.57	
388	1	1	9	31	68.14	211.55	275.28	22.21	399.36	
389	1	1	9	32	67.82	211.55	275.28	22.42	399.46	
390	1	1	9	33	67.71	211.39	274.80	22.51	399.23	
391	1	1	9	34	67.59	212.04	274.80	22.64	399.16	
392	1	1	9	35	67.53	211.55	274.31	22.62	398.99	
393	1	1	9	36	67.41	211.87	274.96	22.71	398.92	
394	1	1	9	37	67.41	211.39	274.31	22.69	398.58	
395	1	1	9	38	66.75	211.71	275.12	22.90	398.51	
396	1	1	9	39	67.13	211.55	274.31	22.80	398.37	
397	1	1	9	40	66.97	212.04	274.80	22.88	398.63	
398	1	1	9	41	66.75	211.39	274.80	23.15	398.60	
399	1	1	9	42	66.52	211.06	274.63	23.26	398.34	
400	1	1	9	43	66.34	211.55	274.47	23.28	398.11	
401	1	1	9	44	66.12	210.74	274.96	23.48	397.90	
402	1	1	9	45	65.98	212.20	274.31	23.55	397.52	
403	1	1	9	46	65.55	211.39	273.50	24.26	397.72	
404	1	1	9	47	65.89	211.55	274.47	23.61	397.46	
405	1	1	9	48	65.82	212.20	274.63	23.69	397.38	
406	1	1	9	49	63.41	211.71	275.12	44.21	397.39	
407	1	1	9	50	64.31	212.52	274.96	36.13	397.51	
408	1	1	9	51	65.66	211.87	274.63	23.80	397.28	
409	1	1	9	52	65.57	211.55	274.31	24.37	397.70	
410	1	1	9	53	65.11	212.20	275.12	27.81	397.87	
411	1	1	9	54	64.66	211.06	274.96	29.67	397.69	
412	1	1	9	55	65.46	212.04	275.28	23.93	397.26	
413	1	1	9	56	65.45	211.39	275.45	23.95	397.10	
414	1	1	9	57	58.22	211.22	275.12	92.78	397.17	
415	1	1	9	58	63.75	212.04	275.45	34.73	397.05	
416	1	1	9	59	65.49	211.87	275.12	23.85	396.83	
417	1	1	9	60	65.58	211.87	274.47	23.91	397.09	
418	1	1	9	61	65.64	212.52	274.80	23.75	397.12	
419	1	1	9	62	65.81	211.87	274.96	23.71	396.81	
420	1	1	9	63	65.92	211.39	274.80	23.53	397.35	
421	1	1	9	64	66.10	213.01	274.63	23.27	398.00	
422	1	1	9	65	66.20	211.87	274.47	23.17	397.75	
423	1	1	9	66	65.42	211.87	275.12	26.09	397.67	
424	1	1	9	67	66.32	212.04	274.80	22.99	397.83	
425	1	1	9	68	66.46	212.04	274.80	22.90	397.85	
